committee_id,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,sub_id,original_sub_id,committee_designated_coordinated_expenditure_indicator,committee_name,entity_type,entity_type_desc,designated_committee_id,designated_committee_name,subordinate_committee_id,payee_name,payee_last_name,payee_middle_name,payee_first_name,aggregate_general_election_expenditure,expenditure_type,expenditure_type_full,expenditure_purpose_full,expenditure_date,expenditure_amount,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_full,candidate_office_state,candidate_office_state_full,candidate_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,action_code,action_code_full,back_reference_transaction_id,back_reference_schedule_name,memo_code,memo_code_full,memo_text,unlimited_spending_flag,unlimited_spending_flag_full,catolog_code,catolog_code_full,schedule_type,schedule_type_full,load_date,election_cycle
C00020602,1978,Q3,79031252661,F3X,3032920021022516553,25,,,3062020110012923383,,,REPUBLICAN STATE CENTRAL COMMITTEE CALIFORNIA-FEDERAL ELECTION ACCT(RSCC CONG TARGET CMTE),,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-30 00:00:00,500.00,H6CA34112,"LUNGREN, DANIEL E.",,DANIEL E.,,0,,H,HOUSE,CA,CALIFORNIA ,34,,,,,,,,A,ADD,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.775,1978
C00003418,1978,M4,78030721404,F3X,3032920021022510660,25,,,3062020110012935697,,,REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE),,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-03-06 00:00:00,283.00,H8NY18076,"GREEN, SEDGWICK WILLIAM",,SEDGWICK WILLIAM,,0,,H,HOUSE,NY,NEW YORK,18,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:55.81,1978
C00027466,1978,M9,78020120615,F3X,3032920021022518338,25,,,3062020110012935946,,,NATIONAL REPUBLICAN SENATORIAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-08-24 00:00:00,500.00,S8MS00055,"COCHRAN, WILLIAM THAD",,WILLIAM THAD,,0,,S,SENATE,MS,MISSISSIPPI,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:55.817,1978
C00031054,1978,Q3,78030895147,F3X,3032920021022519090,25,,,3062020110012936243,,,DEMOCRATIC CAMPAIGN COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-26 00:00:00,100.00,S8MI00158,"LEVIN, CARL",,CARL,,0,,S,SENATE,MI,MICHIGAN,00,,,,,,,,A,ADD,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:55.82,1978
C00001305,1978,YE,79031194462,F3X,3032920021022509126,25,,,3062020110012889437,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-11-28 00:00:00,7.00,H6VA04038,"DANIEL, ROBERT W. JR.",,ROBERT W. JR.,,0,,H,HOUSE,VA,VIRGINIA ,04,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:57.368,1978
C00001305,1978,YE,79031194466,F3X,3032920021022509126,25,,,3062020110012890202,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-01-31 00:00:00,10.00,S8VA00107,"WARNER, JOHN WILLIAM",,JOHN WILLIAM,,0,,S,SENATE,VA,VIRGINIA ,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:57.368,1978
C00001305,1978,YE,79031194468,F3X,3032920021022509126,25,,,3062020110012891667,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-01-31 00:00:00,76.00,H6VA06033,"BUTLER, MANLEY CALDWELL",,MANLEY CALDWELL,,0,,H,HOUSE,VA,VIRGINIA ,06,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:57.369,1978
C00075820,1978,M10,78011511290,F3X,3032920021022527574,25,,,3062020110012931158,,,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-20 00:00:00,2400.00,H8MN01022,"ERDAHL, ARLEN",,ARLEN,,0,,H,HOUSE,MN,MINNESOTA,01,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.361,1978
C00020602,1978,30G,78030992175,F3X,3032920021022516555,25,,,3062020110012892976,,,REPUBLICAN STATE CENTRAL COMMITTEE CALIFORNIA-FEDERAL ELECTION ACCT(RSCC CONG TARGET CMTE),,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-30 00:00:00,10944.00,H8CA17014,"PASHAYAN, CHARLES. ""CHIP"" JR.",,"CHARLES. ""CHIP"" JR.",,0,,H,HOUSE,CA,CALIFORNIA ,17,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.465,1978
C00027466,1978,10G,78020152780,F3X,3032920021022518336,25,,,3062020110012893119,,,NATIONAL REPUBLICAN SENATORIAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-11 00:00:00,7492.00,S8MI00133,"GRIFFIN, ROBERT P.",,ROBERT P.,,0,,S,SENATE,MI,MICHIGAN,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.467,1978
C00012302,1978,Q3,78030893928,F3X,3032920021022514821,25,,,3062020110012893920,,,NORTH CAROLINA STATE DEMOCRATIC EXECUTIVE COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-08 00:00:00,2004.00,S8NC00072,"INGRAM, JOHN RANDOLPH",,JOHN RANDOLPH,,0,,S,SENATE,NC,NORTH CAROLINA,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.47,1978
C00027466,1978,10G,78020152775,F3X,3032920021022518336,25,,,3062020110012894635,,,NATIONAL REPUBLICAN SENATORIAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-05 00:00:00,20000.00,S8MI00133,"GRIFFIN, ROBERT P.",,ROBERT P.,,0,,S,SENATE,MI,MICHIGAN,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.473,1978
C00003418,1978,M8,78030824886,F3X,3032920021022510668,25,,,3062020110012895251,,,REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE),,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-07-10 00:00:00,109.00,H8NE02022,"DAUB, HAROLD J.",,HAROLD J.,,0,,H,HOUSE,NE,NEBRASKA,02,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.476,1978
C00015065,1978,30G,79031171319,F3X,3032920021022515665,25,,,3062020110012895806,,,REPUBLICAN PARTY OF KENTUCKY,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-24 00:00:00,90.00,H8KY06040,"HOPKINS, LARRY JONES",,LARRY JONES,,0,,H,HOUSE,KY,KENTUCKY,06,,,,,,,,A,ADD,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.479,1978
C00031054,1978,30G,78030982608,F3X,3032920021022519092,25,,,3062020110012895822,,,DEMOCRATIC CAMPAIGN COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-11-01 00:00:00,5.00,S8MI00158,"LEVIN, CARL",,CARL,,0,,S,SENATE,MI,MICHIGAN,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.479,1978
C00001305,1978,YE,79031194467,F3X,3032920021022509126,25,,,3062020110012897327,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-01-31 00:00:00,50.00,H6VA06033,"BUTLER, MANLEY CALDWELL",,MANLEY CALDWELL,,0,,H,HOUSE,VA,VIRGINIA ,06,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.486,1978
C00031054,1978,30G,78030982628,F3X,3032920021022519092,25,,,3062020110012897819,,,DEMOCRATIC CAMPAIGN COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-11-01 00:00:00,150.00,S8MI00158,"LEVIN, CARL",,CARL,,0,,S,SENATE,MI,MICHIGAN,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.489,1978
C00001305,1978,30G,78030984130,F3X,3032920021022509118,25,,,3062020110012898219,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-26 00:00:00,162.00,S8VA00107,"WARNER, JOHN WILLIAM",,JOHN WILLIAM,,0,,S,SENATE,VA,VIRGINIA ,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.491,1978
C00027466,1978,M10,78020151335,F3X,3032920021022518337,25,,,3062020110012899999,,,NATIONAL REPUBLICAN SENATORIAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-28 00:00:00,39.00,S8SC00019,"THURMOND, JAMES STROM",,JAMES STROM,,0,,S,SENATE,SC,SOUTH CAROLINA,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:58.497,1978
